combo_id,oyez_identifier,n_test_rows,model_accuracy,petitioner_rate_full,n_full_rows,per_justice_baseline,lift_over_baseline
bow_unigram__linear_svc,antonin_scalia,138.0,0.5217391304347826,0.6355810616929699,697,0.6355810616929699,-0.11384193125818731
bow_unigram__linear_svc,brett_m_kavanaugh,78.0,0.5384615384615384,0.6729222520107239,373,0.6729222520107239,-0.13446071354918543
bow_unigram__linear_svc,clarence_thomas,58.0,0.6551724137931034,0.6048109965635738,291,0.6048109965635738,0.05036141722952958
bow_unigram__linear_svc,david_h_souter,62.0,0.6612903225806451,0.5940959409594095,271,0.5940959409594095,0.06719438162123559
bow_unigram__linear_svc,elena_kagan,170.0,0.4647058823529412,0.6119909502262444,884,0.6119909502262444,-0.1472850678733032
bow_unigram__linear_svc,john_g_roberts_jr,255.0,0.592156862745098,0.6627634660421545,1281,0.6627634660421545,-0.07060660329705648
bow_unigram__linear_svc,john_paul_stevens,74.0,0.581081081081081,0.5542168674698795,332,0.5542168674698795,0.026864213611201504
bow_unigram__linear_svc,ketanji_brown_jackson,36.0,0.4444444444444444,0.6257309941520468,171,0.6257309941520468,-0.18128654970760238
bow_unigram__linear_svc,neil_gorsuch,87.0,0.4942528735632184,0.6566820276497696,434,0.6566820276497696,-0.16242915408655118
bow_unigram__linear_svc,ruth_bader_ginsburg,191.0,0.5287958115183246,0.5824847250509165,982,0.5824847250509165,-0.053688913532591975
bow_unigram__linear_svc,samuel_a_alito_jr,231.0,0.5324675324675324,0.6038227628149435,1151,0.6038227628149435,-0.07135523034741109
bow_unigram__linear_svc,sandra_day_oconnor,3.0,1.0,0.5555555555555556,18,0.5555555555555556,0.4444444444444444
bow_unigram__linear_svc,sonia_sotomayor,188.0,0.5585106382978723,0.6004036326942482,991,0.6004036326942482,-0.04189299439637595
bow_unigram__linear_svc,stephen_g_breyer,214.0,0.5186915887850467,0.6241860465116279,1075,0.6241860465116279,-0.10549445772658117
bow_unigram__random_forest,amy_coney_barrett,55.0,0.6181818181818182,0.640625,256,0.640625,-0.022443181818181834
bow_unigram__random_forest,anthony_m_kennedy,167.0,0.688622754491018,0.6706730769230769,832,0.6706730769230769,0.01794967756794108
bow_unigram__random_forest,antonin_scalia,138.0,0.6739130434782609,0.6355810616929699,697,0.6355810616929699,0.03833198178529096
bow_unigram__random_forest,brett_m_kavanaugh,78.0,0.6410256410256411,0.6729222520107239,373,0.6729222520107239,-0.031896610985082785
bow_unigram__random_forest,clarence_thomas,58.0,0.5862068965517241,0.6048109965635738,291,0.6048109965635738,-0.018604100011849756
bow_unigram__random_forest,david_h_souter,62.0,0.5483870967741935,0.5940959409594095,271,0.5940959409594095,-0.045708844185216035
bow_unigram__random_forest,elena_kagan,170.0,0.5941176470588235,0.6119909502262444,884,0.6119909502262444,-0.017873303167420862
bow_unigram__random_forest,john_g_roberts_jr,255.0,0.6666666666666666,0.6627634660421545,1281,0.6627634660421545,0.0039032006245121043
bow_unigram__random_forest,john_paul_stevens,74.0,0.5405405405405406,0.5542168674698795,332,0.5542168674698795,-0.013676326929338956
bow_unigram__random_forest,ketanji_brown_jackson,36.0,0.4722222222222222,0.6257309941520468,171,0.6257309941520468,-0.1535087719298246
bow_unigram__random_forest,neil_gorsuch,87.0,0.6666666666666666,0.6566820276497696,434,0.6566820276497696,0.009984639016897057
bow_unigram__random_forest,ruth_bader_ginsburg,191.0,0.5654450261780105,0.5824847250509165,982,0.5824847250509165,-0.017039698872906017
bow_unigram__random_forest,samuel_a_alito_jr,231.0,0.6103896103896104,0.6038227628149435,1151,0.6038227628149435,0.006566847574666856
bow_unigram__random_forest,sandra_day_oconnor,3.0,0.3333333333333333,0.5555555555555556,18,0.5555555555555556,-0.22222222222222227
bow_unigram__random_forest,sonia_sotomayor,188.0,0.5957446808510638,0.6004036326942482,991,0.6004036326942482,-0.0046589518431844335
bow_unigram__random_forest,stephen_g_breyer,214.0,0.6401869158878505,0.6241860465116279,1075,0.6241860465116279,0.016000869376222582
tfidf_unigram__logreg,amy_coney_barrett,55.0,0.43636363636363634,0.640625,256,0.640625,-0.20426136363636366
tfidf_unigram__logreg,anthony_m_kennedy,167.0,0.592814371257485,0.6706730769230769,832,0.6706730769230769,-0.07785870566559183
tfidf_unigram__logreg,antonin_scalia,138.0,0.5579710144927537,0.6355810616929699,697,0.6355810616929699,-0.07761004720021625
tfidf_unigram__logreg,brett_m_kavanaugh,78.0,0.6666666666666666,0.6729222520107239,373,0.6729222520107239,-0.006255585344057235
tfidf_unigram__logreg,clarence_thomas,58.0,0.5689655172413793,0.6048109965635738,291,0.6048109965635738,-0.03584547932219451
tfidf_unigram__logreg,david_h_souter,62.0,0.6129032258064516,0.5940959409594095,271,0.5940959409594095,0.018807284847042083
tfidf_unigram__logreg,elena_kagan,170.0,0.4823529411764706,0.6119909502262444,884,0.6119909502262444,-0.1296380090497738
tfidf_unigram__logreg,john_g_roberts_jr,255.0,0.5843137254901961,0.6627634660421545,1281,0.6627634660421545,-0.07844974055195841
tfidf_unigram__logreg,john_paul_stevens,74.0,0.6216216216216216,0.5542168674698795,332,0.5542168674698795,0.06740475415174207
tfidf_unigram__logreg,ketanji_brown_jackson,36.0,0.4722222222222222,0.6257309941520468,171,0.6257309941520468,-0.1535087719298246
tfidf_unigram__logreg,neil_gorsuch,87.0,0.4827586206896552,0.6566820276497696,434,0.6566820276497696,-0.17392340696011438
tfidf_unigram__logreg,ruth_bader_ginsburg,191.0,0.4712041884816754,0.5824847250509165,982,0.5824847250509165,-0.11128053656924114
tfidf_unigram__logreg,samuel_a_alito_jr,231.0,0.5584415584415584,0.6038227628149435,1151,0.6038227628149435,-0.04538120437338511
tfidf_unigram__logreg,sandra_day_oconnor,3.0,1.0,0.5555555555555556,18,0.5555555555555556,0.4444444444444444
tfidf_unigram__logreg,sonia_sotomayor,188.0,0.5319148936170213,0.6004036326942482,991,0.6004036326942482,-0.06848873907722697
tfidf_unigram__logreg,stephen_g_breyer,214.0,0.4532710280373832,0.6241860465116279,1075,0.6241860465116279,-0.17091501847424473
tfidf_unigram__linear_svc,amy_coney_barrett,55.0,0.509090909090909,0.640625,256,0.640625,-0.13153409090909096
tfidf_unigram__linear_svc,anthony_m_kennedy,167.0,0.6167664670658682,0.6706730769230769,832,0.6706730769230769,-0.05390660985720863
tfidf_unigram__linear_svc,antonin_scalia,138.0,0.4927536231884058,0.6355810616929699,697,0.6355810616929699,-0.14282743850456409
tfidf_unigram__linear_svc,brett_m_kavanaugh,78.0,0.5512820512820513,0.6729222520107239,373,0.6729222520107239,-0.12164020072867254
tfidf_unigram__linear_svc,clarence_thomas,58.0,0.5172413793103449,0.6048109965635738,291,0.6048109965635738,-0.08756961725322898
tfidf_unigram__linear_svc,david_h_souter,62.0,0.6612903225806451,0.5940959409594095,271,0.5940959409594095,0.06719438162123559
tfidf_unigram__linear_svc,elena_kagan,170.0,0.4588235294117647,0.6119909502262444,884,0.6119909502262444,-0.1531674208144797
tfidf_unigram__linear_svc,john_g_roberts_jr,255.0,0.5764705882352941,0.6627634660421545,1281,0.6627634660421545,-0.08629287780686046
tfidf_unigram__linear_svc,john_paul_stevens,74.0,0.6351351351351351,0.5542168674698795,332,0.5542168674698795,0.08091826766525556
tfidf_unigram__linear_svc,ketanji_brown_jackson,36.0,0.4166666666666667,0.6257309941520468,171,0.6257309941520468,-0.20906432748538012
tfidf_unigram__linear_svc,neil_gorsuch,87.0,0.47126436781609193,0.6566820276497696,434,0.6566820276497696,-0.18541765983367764
tfidf_unigram__linear_svc,ruth_bader_ginsburg,191.0,0.49214659685863876,0.5824847250509165,982,0.5824847250509165,-0.09033812819227777
tfidf_unigram__linear_svc,samuel_a_alito_jr,231.0,0.5584415584415584,0.6038227628149435,1151,0.6038227628149435,-0.04538120437338511
tfidf_unigram__linear_svc,sandra_day_oconnor,3.0,1.0,0.5555555555555556,18,0.5555555555555556,0.4444444444444444
tfidf_unigram__linear_svc,sonia_sotomayor,188.0,0.5585106382978723,0.6004036326942482,991,0.6004036326942482,-0.04189299439637595
tfidf_unigram__linear_svc,stephen_g_breyer,214.0,0.49065420560747663,0.6241860465116279,1075,0.6241860465116279,-0.13353184090415127
tfidf_unigram__random_forest,amy_coney_barrett,55.0,0.6363636363636364,0.640625,256,0.640625,-0.0042613636363636465
tfidf_unigram__random_forest,anthony_m_kennedy,167.0,0.7005988023952096,0.6706730769230769,832,0.6706730769230769,0.02992572547213268
tfidf_unigram__random_forest,antonin_scalia,138.0,0.6884057971014492,0.6355810616929699,697,0.6355810616929699,0.05282473540847932
tfidf_unigram__random_forest,brett_m_kavanaugh,78.0,0.6666666666666666,0.6729222520107239,373,0.6729222520107239,-0.006255585344057235
tfidf_unigram__random_forest,clarence_thomas,58.0,0.603448275862069,0.6048109965635738,291,0.6048109965635738,-0.0013627207015048937
tfidf_unigram__random_forest,david_h_souter,62.0,0.5483870967741935,0.5940959409594095,271,0.5940959409594095,-0.045708844185216035
tfidf_unigram__random_forest,elena_kagan,170.0,0.5882352941176471,0.6119909502262444,884,0.6119909502262444,-0.02375565610859731
tfidf_unigram__random_forest,john_g_roberts_jr,255.0,0.6666666666666666,0.6627634660421545,1281,0.6627634660421545,0.0039032006245121043
tfidf_unigram__random_forest,john_paul_stevens,74.0,0.581081081081081,0.5542168674698795,332,0.5542168674698795,0.026864213611201504
tfidf_unigram__random_forest,ketanji_brown_jackson,36.0,0.4722222222222222,0.6257309941520468,171,0.6257309941520468,-0.1535087719298246
